,Company ID,‘Bias-Free'/No bias,Video Screening,Resume/Profile Screening,Chatbots,Addresses Physical Disabilities,Addresses Neurodiversity,Public Accessability Staff,Offers Accommodations,Immediate/Timeframe for Accommodations,Reports Bias Testing,Number of Total Staff 
0,1,0,0,1,1,0,1,1,1,0,2,Large
1,2,0,1,0,1,0,1,0,1,0,1,Medium
2,3,2,2,0,0,0,1,0,1,2,1,Medium
3,4,0,0,1,0,1,1,0,0,0,0,Medium
4,5,1,0,1,0,0,0,0,0,0,1,Medium
5,6,0,0,1,0,1,1,0,0,0,0,Small
6,7,2,0,1,0,0,0,0,0,0,0,Small
7,8,1,1,0,1,1,1,0,0,0,1,Medium
8,9,2,0,0,1,0,0,0,0,0,2,Medium
9,10,0,0,1,1,0,0,0,0,0,0,Small
10,11,0,1,0,1,0,0,0,0,0,2,Small
11,12,0,0,1,0,0,1,0,2,0,1,Medium
12,13,0,0,1,1,0,1,0,0,0,0,Small
13,14,1,1,0,0,0,0,0,0,0,0,Small
14,15,1,0,1,0,0,0,0,0,0,0,Medium
15,16,0,0,1,2,0,1,1,1,1,2,Large
16,17,0,2,1,0,1,1,1,0,0,1,Large
17,18,0,0,0,0,0,1,1,2,0,1,Large
18,19,0,0,0,0,1,1,1,1,2,1,Large
19,20,2,0,1,1,0,0,0,0,0,0,Medium
20,21,2,0,1,0,0,0,0,0,0,1,Medium
21,22,0,0,1,1,0,1,0,0,0,0,Small
22,23,1,1,1,1,1,0,0,0,0,2,Medium
23,24,0,1,0,0,0,0,0,0,0,0,Small
24,25,0,0,1,1,0,0,0,0,0,0,Medium
25,26,0,0,1,0,0,0,0,0,0,0,Small
26,27,2,0,1,0,0,0,0,0,0,1,Small
27,28,0,0,0,1,0,0,0,0,0,0,Small
28,29,0,0,1,1,1,0,0,0,0,1,Large
29,30,0,2,0,0,0,0,0,0,0,2,Small
